우왁굳 (woowakgood)	축구왕 왁돌이	시청자 1.4만명	FIFA 23	2022-09-27 19:02:22.436272
침착맨 (zilioner)	침&펄 저녁식사 먹기 (구독후원음성X)	시청자 9,687명	Just Chatting	2022-09-27 19:02:22.436272
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 9,491명	VRChat	2022-09-27 19:02:22.436272
한동숙 (handongsuk)	발낳대 스크림	시청자 8,103명	VALORANT	2022-09-27 19:02:22.436272
괴물쥐123 (tmxk319)	발낳대 전 스크림	시청자 8,098명	VALORANT	2022-09-27 19:02:22.436272
랄로 (aba4647)	와끼얏호우	시청자 6,356명	World of Warcraft	2022-09-27 19:02:22.436272
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 5,476명	Just Chatting	2022-09-27 19:02:22.436272
김도 (kimdoe)	서브노티카 빌로우제로	시청자 5,037명	Subnautica: Below Zero	2022-09-27 19:02:22.436272
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 4,469명	World of Warcraft	2022-09-27 19:02:22.436272
따효니 (ddahyoni)	C9 DDaHyoNi ㅅㅡ크림	시청자 4,467명	VALORANT	2022-09-27 19:02:22.436272
탬탬버린 (2chamcham2)	˗ˋˏ오늘은,,,,꼭 1인분을 하자,,,ˎˊ˗  ٩(●'▿'●)۶ *	시청자 4,005명	VALORANT	2022-09-27 19:02:22.436272
러너교 (runner0608)	발낳대 코니키 스크림	시청자 2,507명	Just Chatting	2022-09-27 19:02:22.436272
푸린_ (rngudwnswkd)	저녁6시 강지팀 VS 망개팀 스크림!	시청자 2,492명	Just Chatting	2022-09-27 19:02:22.436272
악어 (jdm2088)	6시 발로란트 강지팀 vs 망개팀 스크림 <잠을 자도 피곤하다>	시청자 2,358명	VALORANT	2022-09-27 19:02:22.436272
너불 (nubulswamp)	빡	시청자 2,159명	VALORANT	2022-09-27 19:02:22.436272
마왕루야_ (maoruya)	오늘 스크림에서는 새로운 캐릭터를 보여줄 예정!	시청자 2,122명	VALORANT	2022-09-27 19:02:22.436272
다주 (dda_ju)	다하^ㅁ^/	시청자 1,715명	Just Chatting	2022-09-27 19:02:22.436272
똘똘똘이_ (jungtaejune)	즐거운 화요일	시청자 1,704명	Just Chatting	2022-09-27 19:02:22.436272
명훈 (mlchoins)	[명훈] 라운드당 3명씩만 잡기 6시 스크림 발로란트	시청자 1,643명	VALORANT	2022-09-27 19:02:22.436272
두니주니 (dunizuni)	ㅎㅇ	시청자 1,446명	Teamfight Tactics	2022-09-27 19:02:22.436272
스틸로 (steelohs)	카드깡 2차시기	시청자 1,395명	FIFA 23	2022-09-27 19:02:22.436272
삼식 (inecr7024)	연습	시청자 1,362명	VALORANT	2022-09-27 19:02:22.436272
이춘향 (leechunhyang)	[이춘향] 6시 약속이였는데...	시청자 1,284명	Just Chatting	2022-09-27 19:02:22.436272
강지 (rkdwl12)	6시 스크림	시청자 1,277명	VALORANT	2022-09-27 19:02:22.436272
박삐삐__ (smpk9604)	삐하~	시청자 1,219명	Just Chatting	2022-09-27 19:02:22.436272
히렌히 (hyren7)	리치킹	시청자 1,136명	World of Warcraft	2022-09-27 19:02:22.436272
_연두부_ (lovelyyeon)	[광고] 인텔 하드코어 트레이닝! 수업 들으러 왔읍니다 ㅎㅎㅋ;	시청자 993명	Just Chatting	2022-09-27 19:02:22.436272
크라니쉬 (kranichhs)	젠지 하스스톤 프로그램 !부트캠프 / 내일 나스리아 미니팩 출시	시청자 965명	Hearthstone	2022-09-27 19:02:22.436272
Rb0f	DRX Rb / 휴가	시청자 921명	VALORANT	2022-09-27 19:02:22.436272
설백_ (snow_hite)	[설백] 타짜 설백 !편집자	시청자 826명	Prominence Poker	2022-09-27 19:02:22.436272
액시스마이콜 (sn400ja)	정글이 합류해야 하는게임은 진게임이다	시청자 825명	League of Legends	2022-09-27 19:02:22.436272
마뫄 (ma_mwa)	자낳대 숟가락 마뫄🐶	시청자 822명	VALORANT	2022-09-27 19:02:22.436272
빅헤드 (bighead033)	대규모 노동 드가자	시청자 803명	Minecraft	2022-09-27 19:02:22.436272
배돈 (baedony)	리치왕의분노 태어나서 처음 합니다	시청자 783명	World of Warcraft	2022-09-27 19:02:22.436272
정령왕 (ljh0328)	체스 그마 찍고 저녁밥 먹기	시청자 782명	Teamfight Tactics	2022-09-27 19:02:22.436272
이초홍 (h920103)	@_@	시청자 782명	Just Chatting	2022-09-27 19:02:22.436272
찬우정 (jcw970)	(진심)챌린저 달리기 2일차	시청자 780명	League of Legends	2022-09-27 19:02:22.436272
캡틴잭 (hwkang2)	오르골 8개 모아서 스탯 50 받는 극한의 수직충	시청자 763명	Lost Ark	2022-09-27 19:02:22.436272
윤개굴이 (yoon_froggy)	난 ck 언더 💞 리액션 new songs!  💥	시청자 740명	Just Chatting	2022-09-27 19:02:22.436272
유치__ (youchi0_0)	최근 고용한 메이드가 수상하다🖤	시청자 730명	Just Chatting	2022-09-27 19:02:22.436272
류제홍_ (wpghd321)	발낳대 준비	시청자 721명	VALORANT	2022-09-27 19:02:22.436272
청묘 (i_am_bloooo)	유니온 하고싶어요	시청자 664명	MapleStory	2022-09-27 19:02:22.436272
인섹_ (insec13)	대기열180만갓겜	시청자 662명	Teamfight Tactics	2022-09-27 19:02:22.436272
철면수심 (109ace)	허준이 되어 사람 살리기	시청자 648명	Bio Inc. Redemption	2022-09-27 19:02:22.436272
세아스토리 (sea_vtuber)	눈 떠보니 임진왜란에 온 AI	시청자 628명	Back To the Joseon	2022-09-27 19:02:22.436272
해기님 (he0901)	강지팀)스크림	시청자 615명	VALORANT	2022-09-27 19:02:22.436272
우사기인뎅 (ny991017)	ㅎㅎ	시청자 612명	Just Chatting	2022-09-27 19:02:22.436272
망개__ (mmange2)	졸ㄹ  ㅕ  ʕ ๑ •̀ᴗ-ʔ ✧	시청자 571명	VALORANT	2022-09-27 19:02:22.436272
러끼 (luck22222)	오늘 안에 '아란나라' 부숴버리고 오기	시청자 547명	Genshin Impact	2022-09-27 19:02:22.436272
